what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469204239141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469204243336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469204253450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469204257486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469204267233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469204275719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469204282319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469204295539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1469204297375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469204305277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469204337788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1469204400966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1469204432637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469204443447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469204474774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469204486185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469204489767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469239859071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469239860113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249059747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249062199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249261236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249265207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249269324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1469249277081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249299600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249302820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249317977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249358100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249360631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249363060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249373481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249429007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249439041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249505165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249508552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249519147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469249523529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469249542443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249573466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249577620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469249621756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469249628656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252427376
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1469252429310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252440761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469252447517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252451687
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469252452110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469252452260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252457691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252473399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469252474866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469252476036
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1469252484344
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469252615605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252839768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469252839970
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1469252846391
